r_profile_id,sold_date
4226430,2019-12-06
6338011,2019-12-06
4338454,2019-12-06
4338289,2019-12-06
4336495,2019-12-24
4336506,2019-12-24
4337010,2019-12-24
16079,2019-10-24
3966578,2019-10-24
22866417,2021-11-02
19449,2021-12-30
25039,2021-11-17
25037,2021-11-17
25038,2021-11-17
12423730,2021-03-21
20476195,2021-12-08
20476191,2021-12-08
20471142,2021-12-08
13472789,2021-10-19
19906790,2021-10-19
19906798,2021-11-01
23942783,2021-09-09
13682236,2020-12-21
2961875,2021-04-01
9766,2021-08-13
4385692,2020-01-15
14795035,2021-01-21
9767,2021-04-01
18056895,2021-09-09
23942770,2021-05-06
2961877,2021-09-01
2961870,2020-12-21
3990229,2019-08-29
4403980,2019-02-08
10587700,2019-10-24
19405,2019-11-15
19406,2019-11-15
19407,2019-11-15
1263112,2020-01-10
19264,2018-12-19
20125,2019-12-01
9775,2019-10-16
9777,2018-12-26
3663706,2019-01-04
3663707,2019-01-04
3663708,2019-01-04
3663700,2019-01-04
3663778,2019-01-04
9778,2019-08-20
20126,2019-09-25
20127,2019-04-04
3663790,2019-01-04
9770,2019-04-11
16539510,2021-06-01
9774,2019-09-18
64114,2021-08-04
64115,2021-08-04
64116,2021-08-04
23390,2021-12-22
23303,2020-11-19
23325,2020-11-19
23397,2020-11-19
21116,2020-11-19
23400,2020-11-19
23471,2020-11-19
21089,2021-12-10
23341,2020-11-19
23370,2020-11-19
23300,2020-11-19
23519,2020-11-19
23526,2020-11-19
23493,2020-11-19
23292,2020-11-19
23426,2020-11-19
21125,2020-11-19
19423,2021-03-01
22811,2021-12-15
25567,2021-12-15
25568,2020-07-23
25569,2020-07-23
25571,2020-07-23
24823,2020-12-17
19385,2020-12-31
21735,2021-06-17
21734,2021-01-08
16349,2021-08-24
15184,2021-10-05
21715,2021-01-31
21699,2020-06-30
52554,2020-04-16
25839,2021-08-05
41259,2021-08-05
42089,2021-08-05
25838,2021-08-05
22719,2020-10-09
22718,2020-03-31
15267,2020-06-01
15224,2020-07-06
15146,2020-07-06
15226,2019-07-16
16662,2019-07-31
15275,2019-05-31
15311,2020-07-06
15197,2018-07-26
15212,2020-07-06
15307,2020-07-06
15307,2020-07-06
15155,2020-07-06
22197,2019-07-15
29974,2021-09-30
22193,2019-07-12
62944,2021-05-12
22195,2020-01-31
16319,2019-05-27
20401,2020-09-18
27256,2019-10-16
27259,2019-07-09
62946,2021-09-30
62947,2021-11-08
20400,2021-11-01
27258,2019-06-21
27261,2021-09-30
